ym,ccode,gen_share,load_share
2020-07-01,SK,NA,NA
2020-08-01,AT,0.0814024193548387,0.0880221438172043
2020-08-01,BE,0.021083602150537634,0.02112782258064516
2020-08-01,BG,0.0138002688172043,0.016352016129032258
2020-08-01,CZ,0.013819220430107526,0.01742284946236559
2020-08-01,DE,0.04425436827956989,0.04589704301075269
2020-08-01,DK,0.06759193548387096,0.03686559139784946
2020-08-01,EE,0.023536021505376342,0.019889112903225804
2020-08-01,ES,0.039246774193548384,0.04064354838709677
2020-08-01,FI,0.04557432795698924,0.031733064516129034
2020-08-01,FR,0.021103629032258063,0.022388709677419353
2020-08-01,GR,0.027935349462365592,0.020204301075268816
2020-08-01,HR,0.053159139784946234,0.031107392473118278
2020-08-01,HU,0.013942775537634407,0.010151579301075268
2020-08-01,IE,NA,NA
2020-08-01,IT,0.037002016129032256,0.03519986559139785
2020-08-01,LT,0.02835040322580645,0.010556989247311827
2020-08-01,LU,0.08170635080645161,0.016465658602150535
2020-08-01,LV,0.02485725806451613,0.018066666666666665
2020-08-01,NL,0.008717876344086021,0.009082930107526881
2020-08-01,NO,0.09515672043010753,0.12217822580645162
2020-08-01,PL,0.010510752688172042,0.008843279569892473
2020-08-01,PT,0.042222043010752684,0.0410002688172043
2020-08-01,RO,0.04217056451612903,0.041257123655913976
2020-08-01,SE,0.07118736559139785,0.07772338709677419
2020-08-01,SI,0.03377069892473118,0.044887365591397846
2020-08-01,SK,NA,NA
2020-09-01,AT,0.07998534722222223,0.08229555555555555
2020-09-01,BE,0.019792916666666667,0.020484166666666664
2020-09-01,BG,0.013150833333333332,0.015139444444444443
2020-09-01,CZ,0.013392222222222222,0.016567083333333333
2020-09-01,DE,0.04122288194444444,0.04264996527777778
2020-09-01,DK,NA,NA
2020-09-01,EE,0.03321125,0.02318097222222222
